Day of data collection,Patients currently hospitalized in an inpatient bed who have suspected or confirmed COVID-19
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 2, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 3, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 4, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
"May 5, 2020",0
